t,equity
0,99847.79904529979
1,99596.49762778256
2,99820.1288141891
3,99639.8334687903
4,99648.30058680101
5,99570.46171321598
6,99467.94570316488
7,99666.2450018176
8,99815.72601979044
9,99766.96211813022
10,99890.41212985353
11,99982.99292736733
12,100276.97337236338
13,100435.66605616038
14,100144.31205217769
15,100313.68658384484
16,100541.2689026147
17,100621.66189362165
18,100642.37010576297
19,100822.49167743402
20,100812.16039064378
21,100898.32172615462
22,101167.9453639647
23,100921.84951107008
24,100921.11842154332
25,100824.35148459947
26,100745.11670933613
27,100592.51201000216
28,100630.77689756005
29,100892.30399902652
30,100929.03764655373
31,100776.62620317626
32,101073.81258942091
33,100917.41257801911
34,101068.94839822536
35,101192.86295715168
36,101190.67756022984
37,100909.14323731532
38,101110.24131232094
39,100955.95968146682
40,101151.36800056187
41,101267.32556760649
42,101465.6604230807
43,101327.99237176105
44,101042.6277652178
45,101223.60928013035
46,101321.73421925514
47,101305.24740409278
48,101010.50570220154
49,100747.94311485556
50,101006.29493369376
51,100753.61664539507
52,101005.47025253254
53,101186.84444959431
54,101302.50584383373
55,101057.21679218147
56,101176.25081725931
57,101289.46387276246
58,101365.59869999738
59,101101.49704483658
60,101324.90423924175
61,101041.82501495966
62,100922.58997341752
63,100771.9331919973
64,100713.13105541866
65,100480.41305690035
66,100212.28021109376
67,100097.7071830583
68,100229.03601871565
69,100286.315010583
70,100084.91241124213
71,100143.4116885602
72,99928.75156876491
73,99796.61809173538
74,99959.09488772866
75,99949.28010030632
76,99792.97692843263
77,99849.93722401602
78,99855.91638971421
79,99715.76660001124
80,99618.14773576567
81,99395.75276113239
82,99104.082387076
83,99360.78615399945
84,99242.3837241501
85,99508.1101008599
86,99606.82222821661
87,99750.19899494758
88,99581.95979555872
89,99817.82079794949
90,99551.08406879965
91,99744.13887470424
92,99809.93454712901
93,99878.5409556039
94,99786.92160526909
95,99989.61828625246
96,100062.79348898435
97,99846.68311378577
98,100127.01288581996
99,100407.67000450222
100,100226.9946207173
101,100482.43744848053
102,100247.08667077833
103,100204.57898862513
104,100490.72772044799
105,100587.99582574541
106,100684.0703455249
107,100869.98507689558
108,100824.09607712229
109,100588.0779192045
110,100578.66275867308
111,100443.3777170677
112,100401.1167368005
113,100119.26607244113
114,100134.9603629729
115,100314.67297513966
116,100525.33435746198
117,100259.67432547126
118,100035.63117565679
119,99921.63316373962
120,100076.56355418607
121,99956.79075446175
122,99886.46555298177
123,99774.72972266554
124,99483.42897056352
125,99329.74686991039
126,99310.48274212416
127,99598.93057475754
128,99633.02422821056
129,99800.7696160278
130,99562.6479590569
131,99779.08165683663
132,100065.25391078013
133,100017.7000161756
134,100239.05905590244
135,100051.31178442345
136,99811.29138855147
137,99531.74870236847
138,99755.22693891422
139,99733.38099606487
140,99846.0554749478
141,100050.19731040593
142,99973.45290642155
143,99996.73048419875
144,100024.83659572103
145,100062.65053197797
146,99937.51331036464
147,100212.51081935402
148,100032.11694407374
149,99934.55947379967
150,100137.71777666059
151,100218.7447735209
152,100368.26856182647
153,100114.17625183961
154,100177.33347216422
155,100049.19075089495
156,100172.13001211797
157,99927.59815915719
158,99980.79999557351
159,100113.91221762144
160,100359.69863870436
161,100451.39318064856
162,100632.35431436411
163,100667.5899034028
164,100940.26160546175
165,101054.02401867107
166,101050.52413335681
167,100996.09991536391
168,100697.79092234408
169,100786.78537141676
170,100832.49455679678
171,100784.71371704704
172,100498.14022978273
173,100287.02837772772
174,100530.79509193455
175,100564.7723164866
176,100518.49757094438
177,100284.89197485897
178,100156.00741769804
179,100288.74285631787
180,100331.58739725531
181,100351.18128137456
182,100194.32745810706
183,99927.4292988201
184,99855.01672250712
185,99672.30505138531
186,99765.57595450763
187,99659.6182510844
188,99428.11366965945
189,99346.22798028176
190,99407.11825997599
191,99608.81623608993
192,99600.20808009946
193,99841.92719987666
194,100100.29335555396
195,100126.93456809194
196,100387.27875547639
197,100647.08204486468
198,100610.91261481604
199,100830.81712733848
200,100799.87255694247
201,100629.68517571552
202,100927.72611746498
203,100880.25070482517
204,100663.04049326727
205,100831.75281471011
